
--- LOGICAL GUIDED SEARCH ---
Code family: [1225,65]
Noise level p = 0.03
Search steps = 20
Trials/step = 100
Precision budget = 100000
Score selection: beta=0.3, window=4, top_frac=0.1, min_top=3, max_top=5
Workers = 8
/Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/ldpc/code_util/code_util.py:164: UserWarning: This function has exponential complexity. Not recommended for large pcms. Use the                            'ldpc.code_util.estimate_code_distance' function instead.
  warnings.warn(

>>> PHASE 1: Logical-guided search

Step 1/20 (global max dist so far = 6)
Score Info of current state: weight_patterns={6: 2, 7: 0, 8: 4, 9: 0, 10: 22}, score=2.5382
  Target logical weight: 6
  Current distance: 6
  Valid proposal at trial 67/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 2, 7: 0, 8: 5, 9: 0, 10: 24}, score=2.6444
  Valid proposal at trial 68/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 5, 9: 0, 10: 26}, score=1.6606
  Valid proposal at trial 69/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 1, 9: 0, 10: 10}, score=1.171
  Valid proposal at trial 70/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 2, 7: 0, 8: 5, 9: 0, 10: 20}, score=2.612
  Valid proposal at trial 71/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 9}, score=1.3429
  Valid proposal at trial 72/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 7, 9: 0, 10: 22, 11: 0, 12: 52}, score=9.4012
  Valid proposal at trial 73/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 7, 9: 0, 10: 19, 11: 0, 12: 58}, score=9.1798
  Valid proposal at trial 74/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 2, 9: 0, 10: 26}, score=1.3906
  Valid proposal at trial 75/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 12}, score=1.3672
  Valid proposal at trial 76/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 24}, score=1.4644
  Valid proposal at trial 77/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 10}, score=1.351
  Valid proposal at trial 78/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 12}, score=1.3672
  Valid proposal at trial 79/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 5, 9: 0, 10: 23}, score=1.6363
  Valid proposal at trial 80/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 5, 9: 0, 10: 19, 11: 0, 12: 72}, score=7.2932
  Valid proposal at trial 81/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 9}, score=1.3429
  Valid proposal at trial 82/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 2, 9: 0, 10: 21}, score=1.3501
  Valid proposal at trial 83/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 11, 11: 0, 12: 30}, score=3.233
  Valid proposal at trial 84/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 9}, score=1.3429
  Valid proposal at trial 85/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 4, 9: 0, 10: 23}, score=1.5463
  Valid proposal at trial 86/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 9}, score=1.3429
  Valid proposal at trial 87/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 1, 9: 0, 10: 12}, score=1.1872
  Valid proposal at trial 88/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 5, 9: 0, 10: 23, 11: 0, 12: 60}, score=7.556
  Valid proposal at trial 89/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 12, 11: 0, 12: 30}, score=3.323
  Valid proposal at trial 90/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 5, 9: 0, 10: 22}, score=1.6282
  Valid proposal at trial 91/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 6, 9: 0, 10: 18}, score=1.6858
  Valid proposal at trial 92/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 12, 11: 0, 12: 28}, score=3.3068
  Valid proposal at trial 93/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 6, 9: 0, 10: 20, 11: 0, 12: 59}, score=8.2779
  Valid proposal at trial 94/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 5, 9: 0, 10: 22}, score=1.6282
  Valid proposal at trial 95/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 7, 9: 0, 10: 26}, score=1.8406
  Valid proposal at trial 96/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 2, 7: 0, 8: 4, 9: 0, 10: 21}, score=2.5301
  Valid proposal at trial 97/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 1, 9: 0, 10: 11}, score=1.1791
  Valid proposal at trial 98/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 1, 9: 0, 10: 12}, score=1.1872
  Valid proposal at trial 99/100: distance 6->6, target_weight_before_swap=6, weight_patterns={6: 1, 7: 0, 8: 3, 9: 0, 10: 11}, score=1.3591
  Valid proposal at trial 100/100: distance 6->8, target_weight_before_swap=6, weight_patterns={8: 2, 9: 0, 10: 12, 11: 0, 12: 29}, score=3.3149
  Trials completed: 100/100, valid proposals found: 100, rejections due to distance decrease: 0.
  Accepted best valid move: distance 6->8, target_weight_before_swap=6, weight_patterns=weight_patterns={8: 2, 9: 0, 10: 9, 11: 0, 12: 34}, score=3.0854, score=3.0854

Step 2/20 (global max dist so far = 8)
Score Info of current state: weight_patterns={8: 2, 9: 0, 10: 9, 11: 0, 12: 34}, score=3.0854
  Target logical weight: 8
  Current distance: 8
  Valid proposal at trial 1/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 3, 9: 0, 10: 10, 11: 0, 12: 31}, score=4.1511
  Valid proposal at trial 2/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 5, 9: 0, 10: 9, 11: 0, 12: 27}, score=6.0287
  Valid proposal at trial 3/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 13, 11: 0, 12: 29}, score=2.4049
  Valid proposal at trial 4/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 13, 11: 0, 12: 33}, score=2.4373
  Valid proposal at trial 5/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 3, 9: 0, 10: 8, 11: 0, 12: 28}, score=3.9468
  Valid proposal at trial 6/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 2, 9: 0, 10: 11, 11: 0, 12: 30}, score=3.233
  Valid proposal at trial 7/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 2, 9: 0, 10: 12, 11: 0, 12: 26}, score=3.2906
  Rejected at trial 8/100: distance 8->4.
  Valid proposal at trial 9/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 2, 9: 0, 10: 10, 11: 0, 12: 36}, score=3.1916
  Valid proposal at trial 10/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 13, 11: 0, 12: 29}, score=2.4049
  Valid proposal at trial 11/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 2, 9: 0, 10: 9, 11: 0, 12: 36}, score=3.1016
  Valid proposal at trial 12/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 9, 11: 0, 12: 37}, score=2.1097
  Valid proposal at trial 13/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 10, 11: 0, 12: 37}, score=2.1997
  Valid proposal at trial 14/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 3, 9: 0, 10: 13, 11: 0, 12: 33}, score=4.4373
  Valid proposal at trial 15/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 3, 9: 0, 10: 10, 11: 0, 12: 26}, score=4.1106
  Valid proposal at trial 16/100: distance 8->10, target_weight_before_swap=8, weight_patterns={10: 10, 11: 0, 12: 36, 13: 0, 14: 40}, score=13.564
  Valid proposal at trial 17/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 2, 9: 0, 10: 11, 11: 0, 12: 27}, score=3.2087
  Valid proposal at trial 18/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 2, 9: 0, 10: 10, 11: 0, 12: 34}, score=3.1754
  Rejected at trial 19/100: distance 8->6.
  Valid proposal at trial 20/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 3, 9: 0, 10: 5, 11: 0, 12: 37}, score=3.7497
  Valid proposal at trial 21/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 2, 9: 0, 10: 10, 11: 0, 12: 29}, score=3.1349
  Valid proposal at trial 22/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 3, 9: 0, 10: 13, 11: 0, 12: 29}, score=4.4049
  Rejected at trial 23/100: distance 8->6.
  Valid proposal at trial 24/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 12, 11: 0, 12: 33}, score=2.3473
  Valid proposal at trial 25/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 1, 9: 0, 10: 8, 11: 0, 12: 37}, score=2.0197
  Rejected at trial 26/100: distance 8->6.
  Valid proposal at trial 27/100: distance 8->8, target_weight_before_swap=8, weight_patterns={8: 3, 9: 0, 10: 7, 11: 0, 12: 32}, score=3.8892
