distances_classical,distances_Hx,distances_Hz,distances_quantum,logical_error_rates,max_row_weight_H,max_row_weight_HT,k_classical,k_classical_T,k_quantum
10,10,10,10,0.00258,5,3,7,0,49
8,8,8,8,0.0045,5,3,7,0,49
8,10,10,10,0.00364,5,3,7,0,49
8,8,8,8,0.00388,5,3,7,0,49
8,10,10,10,0.00325,5,3,7,0,49
9,6,10,6,0.0,5,3,7,0,49
7,7,7,7,0.0,5,3,7,0,49
10,10,10,10,0.00254,5,3,7,0,49
8,10,8,8,0.00323,5,3,7,0,49
8,10,10,10,0.00416,5,3,7,0,49
10,10,10,10,0.00254,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
10,10,10,10,0.00213,5,3,7,0,49
8,8,8,8,0.00438,5,3,7,0,49
8,10,10,10,0.00486,5,3,7,0,49
8,10,10,10,0.00315,5,3,7,0,49
10,10,10,10,0.0029,5,3,7,0,49
10,10,10,10,0.00258,5,3,7,0,49
6,10,10,10,0.01074,5,3,7,0,49
10,10,10,10,0.0025,5,3,7,0,49
6,10,10,10,0.00995,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
6,6,6,6,0.0,5,3,7,0,49
10,10,10,10,0.00211,5,3,7,0,49
8,8,8,8,0.00454,5,3,7,0,49
10,10,10,10,0.00253,5,3,7,0,49
6,8,8,8,0.01171,5,3,7,0,49
8,10,10,10,0.00301,5,3,7,0,49
8,10,10,10,0.0034,5,3,7,0,49
10,10,10,10,0.00235,5,3,7,0,49
8,8,8,8,0.00329,5,3,7,0,49
8,8,8,8,0.00379,5,3,7,0,49
8,10,8,8,0.00366,5,3,7,0,49
10,10,10,10,0.00259,5,3,7,0,49
8,10,10,10,0.0033,5,3,7,0,49
8,8,8,8,0.00503,5,3,7,0,49
10,10,10,10,0.00275,5,3,7,0,49
8,9,6,6,0.0,5,3,7,0,49
8,10,10,10,0.00323,5,3,7,0,49
7,10,10,10,0.00415,5,3,7,0,49
10,10,10,10,0.0027,5,3,7,0,49
9,10,10,10,0.0024,5,3,7,0,49
10,10,10,10,0.00276,5,3,7,0,49
8,10,8,8,0.00401,5,3,7,0,49
6,8,8,8,0.01111,5,3,7,0,49
8,10,10,10,0.00296,5,3,7,0,49
10,10,10,10,0.00249,5,3,7,0,49
8,8,10,8,0.00417,5,3,7,0,49
8,8,8,8,0.00445,5,3,7,0,49
9,6,5,5,0.0,5,3,7,0,49
8,10,10,10,0.00339,5,3,7,0,49
6,8,8,8,0.01203,5,3,7,0,49
8,10,10,10,0.0038,5,3,7,0,49
7,10,10,10,0.00346,5,3,7,0,49
10,10,10,10,0.00251,5,3,7,0,49
10,10,10,10,0.00236,5,3,7,0,49
6,10,10,10,0.01035,5,3,7,0,49
8,8,8,8,0.00352,5,3,7,0,49
8,8,8,8,0.00429,5,3,7,0,49
10,10,10,10,0.00261,5,3,7,0,49
8,10,10,10,0.00349,5,3,7,0,49
8,10,8,8,0.00364,5,3,7,0,49
