idx,search_step,accepted,distance,ler,ler_std,W,A_leq_dplus2,A_at_d,weighted_score
331,4,1,12,0.00101,0.00010044849376172343,14,76,16,16.6
332,4,1,12,0.00103,0.0001014371425807083,14,71,22,22.49
333,4,1,12,0.00118,0.00010856423841182056,14,77,20,20.57
334,4,1,12,0.00095,9.74221222859526e-05,14,73,15,15.58
335,4,1,12,0.00098,9.894692468661692e-05,14,78,17,17.61
336,4,1,12,0.00105,0.00010241620912140277,14,75,22,22.53
337,4,1,12,0.00101,0.00010044849376172343,14,77,18,18.59
338,4,1,12,0.00107,0.00010338596561709362,14,71,21,21.5
339,4,1,12,0.00103,0.0001014371425807083,14,74,18,18.56
340,4,1,12,0.00087,9.323367377283408e-05,14,72,16,16.56
341,4,1,12,0.0012614060608526698,0.00011320671700020746,14,76,18,18.58
342,4,1,12,0.00113,0.0001062419120377581,14,69,24,24.45
343,4,1,12,0.0012515265596140454,0.00011232061788617329,14,78,15,15.63
344,4,1,12,0.001,9.995048724743172e-05,14,83,17,17.66
345,4,1,12,0.00117,0.00010810378283981854,14,73,19,19.54
346,4,1,12,0.00079,8.884727310604071e-05,14,71,21,21.5
347,4,1,12,0.00099,9.944997688777525e-05,14,75,18,18.57
348,4,1,12,0.00108,0.00010386743418626863,14,76,17,17.59
349,4,1,12,0.00111,0.00010529857490915431,14,80,20,20.6
350,5,1,12,0.00103,0.0001014371425807083,14,75,17,17.58
351,5,1,12,0.0054445601742259256,0.0005063358308628805,14,76,22,22.54
352,5,1,12,0.0012206901676060674,0.00011376105207525005,14,73,21,21.52
353,5,1,12,0.00104,0.00010192785631454694,14,69,23,23.46
354,5,1,12,0.00096,9.793303788200938e-05,14,67,22,22.45
355,5,1,12,0.000906,3.0086210615165034e-05,14,75,22,22.53
356,5,1,12,0.00091,9.535098278517731e-05,14,77,13,13.64
357,5,1,12,0.00092,3.031756123362365e-05,14,78,15,15.63
358,5,1,12,0.001,9.995048724743172e-05,14,68,21,21.47
359,5,1,12,0.00096,9.793303788200938e-05,14,78,15,15.63
360,5,1,12,0.00101,0.00010044849376172343,14,74,24,24.5
361,5,1,12,0.00108,0.00010386743418626863,14,71,18,18.53
362,5,1,12,0.0011,0.00010482370857825435,14,71,26,26.45
363,5,1,12,0.00097,9.844129167620196e-05,14,69,19,19.5
364,5,1,12,0.00099,9.944997688777525e-05,14,73,18,18.55
365,5,1,12,0.00106,0.00010290223461470062,14,81,21,21.6
366,5,1,12,0.00101,0.00010044849376172343,14,72,22,22.5
367,5,1,12,0.00104,0.00010192785631454697,14,65,20,20.45
368,5,1,12,0.00091,9.535098278517732e-05,14,72,20,20.52
369,5,1,12,0.00087,9.323367377283408e-05,14,77,17,17.6
370,5,1,12,0.00096,9.793303788200938e-05,14,76,18,18.58
371,5,1,12,0.00088,9.37674992918081e-05,14,72,20,20.52
372,5,1,12,0.00092,9.587297802967819e-05,14,76,19,19.57
373,5,1,12,0.00091,9.535098278517731e-05,14,68,17,17.51
374,5,1,12,0.00109,0.0001043466716396782,14,70,19,19.51
375,5,1,12,0.00101,0.00010044849376172343,14,75,26,26.49
376,5,1,12,0.00092,9.587297802967819e-05,14,76,22,22.54
377,5,1,12,0.00098,9.894692468661692e-05,14,78,18,18.6
378,5,1,12,0.0011604088675418503,0.00010814642909570643,14,69,20,20.49
379,5,1,12,0.00107,0.00010338596561709362,14,74,21,21.53
380,5,1,12,0.00103,0.0001014371425807083,14,77,20,20.57
381,5,1,12,0.00107,0.00010338596561709362,14,73,19,19.54
382,5,1,12,0.00104,0.00010192785631454694,14,72,18,18.54
383,5,1,12,0.00111,0.00010529857490915428,14,77,21,21.56
384,5,1,12,0.00085,9.215671396376549e-05,14,75,22,22.53
385,5,1,12,0.00091,9.535098278517732e-05,14,75,19,19.56
386,5,1,12,0.00079,8.884727310604071e-05,14,70,20,20.5
387,5,1,12,0.00089,9.429829225218885e-05,14,76,17,17.59
388,5,1,12,0.00107,0.00010338596561709362,14,73,24,24.49
389,5,1,12,0.00092,9.587297802967818e-05,14,71,21,21.5
390,5,1,12,0.00103,0.0001014371425807083,14,71,19,19.52
391,5,1,12,0.00102,0.00010094403348875539,14,73,22,22.51
392,5,1,12,0.00087,9.323367377283408e-05,14,75,21,21.54
393,5,1,12,0.00102,0.00010094403348875539,14,76,18,18.58
394,5,1,12,0.00111,0.00010529857490915431,14,76,20,20.56
395,5,1,12,0.00091,9.535098278517731e-05,14,76,21,21.55
396,5,1,12,0.00099,9.944997688777525e-05,14,72,17,17.55
397,5,1,12,0.00109,0.00010434667163967822,14,73,24,24.49
398,5,1,12,0.00091,9.535098278517732e-05,14,72,20,20.52
399,5,1,12,0.0011622266240853781,0.00010831574054078826,14,70,23,23.47
400,5,1,12,0.00106,0.00010290223461470062,14,74,19,19.55
401,5,1,12,0.001,9.995048724743172e-05,14,73,17,17.56
402,5,1,12,0.00108,0.00010386743418626863,14,76,22,22.54
403,5,1,12,0.00085,9.215671396376549e-05,14,71,25,25.46
404,5,1,12,0.00106,0.0001029022346147006,14,70,19,19.51
405,5,1,12,0.00091,9.535098278517732e-05,14,73,23,23.5
406,5,1,12,0.00114,0.00010671043937299999,14,70,20,20.5
407,5,1,12,0.00107,0.00010338596561709362,14,74,21,21.53
408,5,1,12,0.00088,9.37674992918081e-05,14,71,22,22.49
409,5,1,12,0.0013447146866230122,0.0001253116849391331,14,71,24,24.47
