method,C,run,code_family,group_path,step,n_evaluated,best_distance_so_far,best_score_at_best_distance_so_far,global_min_score_so_far
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",23.0,1951,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",24.0,1980,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",25.0,2014,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",26.0,2049,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",27.0,2075,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",28.0,2100,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",29.0,2132,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",30.0,2155,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",31.0,2179,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",32.0,2206,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",33.0,2225,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",34.0,2256,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",35.0,2285,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",36.0,2316,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",37.0,2338,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",38.0,2371,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",39.0,2400,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",40.0,2426,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",41.0,2455,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",42.0,2480,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",43.0,2500,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",44.0,2526,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",45.0,2550,9.0,9282000099.999996,9282000099.999996
beam,0,10,"[625,25]","/[625,25]/logical_guided_score_S50_T300_p0.03_bw5_gamma0.1_maxw18_comb10_weightslack1_window2_scoretop0.1_min3_max10_100000prec_20260615_144044",46.0,2583,9.0,9282000099.999996,9282000099.999996
